round,id,reliability,operational,OandM
14,peaker3,0.942,1,2.5
14,peaker2,0.942,1,2.5
14,peaker1,0.942,1,2.5
14,a7,0.894,1,1.4
14,a8,0.887,1,1.4
20,Cirrus Wind,0.909,1,35.6
20,Cirrus9,0.96,0,22.7
20,Cirrus8,0.96,0,22.7
20,Cirrus7,0.96,1,22.7
20,Cirrus6,0.96,1,22.7
20,Cirrus5,0.958,1,18.2
20,Cirrus4,0.958,1,9.1
20,Cirrus3,0.956,1,22.8
20,Cirrus2,0.952,1,11.4
20,Cumulus9,0.934,1,9.5
20,Cumulus8,0.934,1,9.5
20,Cumulus7,0.934,1,7.1
20,Cumulus6,0.934,1,7.1
20,Cumulus5,0.93,1,4.8
20,Cumulus4,0.93,1,4.8
20,Cumulus3,0.93,1,4.8
20,Cumulus2,0.93,1,4.8
20,Cumulus1,0.925,1,9.7
20,Nimbus8,0.95,1,9.2
20,Nimbus7,0.95,1,9.2
20,Nimbus6,0.947,1,9.2
20,Nimbus5,0.947,1,9.2
20,Nimbus4,0.938,1,18.8
20,Nimbus3,0.938,1,23.5
20,Nimbus2,0.915,1,12.5
20,Nimbus1,0.915,1,12.5
20,a3,0.872,1,14.4
20,a4,0.805,1,3.6
20,a1,0.845,0,99.5
20,peaker8,0.933,1,2.5
20,peaker7,0.933,1,2.5
20,peaker6,0.929,1,6.3
20,peaker5,0.92,1,2.6
20,peaker4,0.92,0,2.6
20,peaker3,0.92,1,2.6
20,peaker2,0.92,0,2.6
20,peaker1,0.92,1,2.6
21,Cirrus Wind,0.903,1,35.6
21,Cirrus9,0.96,0,22.7
21,Cirrus8,0.96,0,22.7
21,Cirrus7,0.958,1,22.7
21,Cirrus6,0.958,1,22.7
21,Cirrus5,0.956,1,18.2
21,Cirrus4,0.956,1,9.1
21,Cirrus3,0.954,1,22.8
21,Cirrus2,0.95,1,11.4
21,Cumulus9,0.93,1,9.5
21,Cumulus8,0.93,0,9.5
21,Cumulus7,0.93,1,7.1
21,Cumulus6,0.93,1,7.1
21,Cumulus5,0.925,1,4.8
21,Cumulus4,0.925,1,4.8
21,Cumulus3,0.925,1,4.8
21,Cumulus2,0.925,1,4.8
21,Cumulus1,0.921,1,9.7
21,Nimbus8,0.947,1,9.2
21,Nimbus7,0.947,1,9.2
21,Nimbus6,0.944,1,9.2
21,Nimbus5,0.944,1,9.2
21,Nimbus4,0.944,1,18.8
21,Nimbus3,0.944,1,23.5
21,Nimbus2,0.909,1,12.5
21,Nimbus1,0.909,0,12.5
21,a3,0.862,1,14.4
21,a4,0.791,1,3.6
21,a1,0.822,1,99.5
21,peaker8,0.929,1,2.5
21,peaker7,0.929,1,2.5
21,peaker6,0.925,1,6.3
21,peaker5,0.916,1,2.6
21,peaker4,0.916,1,2.6
21,peaker3,0.916,1,2.6
21,peaker2,0.916,1,2.6
21,peaker1,0.916,1,2.6
22,printer1,0.96,0,
22,printer2,0.96,0,
22,printer3,0.96,0,
22,brrrrr,0.96,0,
22,Stratus2,0.96,0,
22,Stratus1,0.96,0,
22,Cirrus Wind,0.896,1,35.6
22,Cirrus9,0.96,1,22.7
22,Cirrus8,0.96,1,22.7
22,Cirrus7,0.956,1,22.7
22,Cirrus6,0.956,1,22.7
22,Cirrus5,0.954,1,18.2
22,Cirrus4,0.954,1,9.1
22,Cirrus3,0.952,1,22.8
22,Cirrus2,0.947,1,11.4
22,Cumulus9,0.925,1,9.5
22,Cumulus8,0.925,1,9.5
22,Cumulus7,0.925,1,7.1
22,Cumulus6,0.925,1,7.1
22,Cumulus5,0.921,1,4.8
22,Cumulus4,0.921,1,4.8
22,Cumulus3,0.921,1,4.8
22,Cumulus2,0.921,1,4.8
22,Cumulus1,0.915,1,9.7
22,Nimbus8,0.944,1,9.2
22,Nimbus7,0.944,1,9.2
22,Nimbus6,0.941,1,9.2
22,Nimbus5,0.941,1,9.2
22,Nimbus4,0.93,1,18.8
22,Nimbus3,0.93,1,23.5
22,Nimbus2,0.903,0,12.5
22,Nimbus1,0.903,1,12.5
22,a3,0.852,1,14.4
22,a4,0.776,1,3.6
22,a1,0.812,1,99.5
22,peaker8,0.925,0,2.5
22,peaker7,0.925,1,2.5
22,peaker6,0.92,1,6.3
22,peaker5,0.911,1,2.6
22,peaker4,0.911,1,2.6
22,peaker3,0.911,1,2.6
22,peaker2,0.911,1,2.6
22,peaker1,0.911,1,2.6
